SpID,ElevationOptimum,ElevationTolerance,IslandSideOptimum,IslandSideTolerance,MaxHabitatSuitability,AdultMass,AlleeThreshold,DispAlpha,DispTailThinness,Annual,SpeciesType
10018,0,3,2,1,0.93,440,-0.664,0.04701,0.49,0,3
10940,3,5,4,1,0.42,350,-0.374,0.04301,0.37,0,3
17343,0,6,3,4,0.23,108.7,-0.855772,0.0272681,0.253125,0,2
17845.8,2,6,4,4,0.55,102.825,-0.709218,0.0243456,0.188125,0,2
18467.7,1,5,2,2,0.72,111.2,-0.0585,0.0415675,0.475,0,2
19056.3,1,2,1,1,0.61,32.425,-0.139776,0.0391656,0.40125,0,2
19722.4,0,3,1,4,0.17,91.625,-0.608112,0.0148131,0.180625,0,2
20136,4,7,4,1,0.41,440,-0.167,0.00601,0.31,0,3
20756,3,4,2,4,0.93,950,-0.616,0.04301,0.29,0,3
20757,3,4,2,4,0.93,950,-0.616,0.04301,0.29,0,0
20795.8,2,5,1,1,0.38,90.725,-0.643536,0.0256681,0.198125,0,2
21118.4,1,3,1,4,0.85,128.1,-0.598688,0.0198981,0.44625,0,2
21487.4,2,3,3,1,0.38,114.1,-0.5166,0.0271175,0.2075,0,2
21511,4,6,3,4,0.29,93.3,-0.62115,0.0227075,0.2875,0,2
21520.4,4,7,1,2,0.59,115.6,-0.74415,0.0268775,0.2575,0,2
21587.6,0,2,3,4,0.81,111.2,-0.7626,0.0176475,0.2175,0,2
21850,5,6,3,4,0.01,800,-0.599,0.01901,0.46,0,3
22183.8,1,4,1,4,0.72,93.8,-0.5658,0.0184175,0.2775,0,2
22629.5,1,5,2,3,0.56,95.9,-0.7626,0.0214475,0.2375,0,2
22669.5,0,6,1,4,0.71,240.5,-0.2052,0.0439475,0.24,0,2
22946.7,6,7,2,3,0.62,115.175,-0.921875,0.0272856,0.38125,0,2
23464,3,5,1,1,0.94,420,-0.241,0.03701,0.46,1,3
23472.3,5,7,1,4,0.32,36.3,-0.21504,0.0235875,0.595,0,2
23776.8,2,6,2,1,0.67,139.4,-0.7375,0.0267775,0.595,1,2
23807.9,0,4,3,2,0.48,127.7,-0.75645,0.0193375,0.2175,0,2
23842.4,1,7,4,4,0.63,106.2,-0.525,0.0264975,0.395,0,2
23851.9,1,6,2,4,0.03,144.2,-0.63345,0.0243075,0.2475,1,2
23964.8,3,6,3,4,0.89,161.8,-0.475,0.0264475,0.525,0,2
24010.8,2,3,4,1,0.83,32.6,-0.22464,0.0304775,0.585,1,2
24235.7,2,4,2,2,0.69,790.3,-0.13345,0.0199075,0.43,0,2
24644.3,0,5,3,3,0.69,27.1,-0.17472,0.0376075,0.495,1,2
25217,1,5,2,4,0.02,150.5,-0.7375,0.0262775,0.385,1,2
25299.2,3,6,2,3,0.96,124.6,-0.675,0.0304275,0.505,0,2
25531,5,6,2,3,0.24,70,-0.277,0.02501,0.32,0,3
25619,6,7,3,3,0.31,30,-0.707,0.02901,0.55,0,3
25755,2,5,4,4,0.81,690,-0.515,0.04901,0.63,1,3
25877.3,4,6,3,2,0.36,122.5,-0.54375,0.0223775,0.565,1,2
25948.8,4,5,1,4,0.71,109.6,-0.64375,0.0219175,0.435,1,2
26143.9,0,6,4,3,0.23,141.1,-0.71875,0.0230575,0.465,0,2
26716.5,4,5,1,3,0.4,117.3,-0.78125,0.0258075,0.375,1,2
27454,1,3,3,3,1,120,-0.615,0.02301,0.25,0,3
28058,0,2,4,1,0.15,290,-0.216,0.03701,0.32,0,3
29300,4,5,1,3,0.14,30,-0.192,0.03101,0.5,0,3
29399,6,7,2,3,0.23,950,-0.157,0.02201,0.36,1,3
29671,2,6,3,2,0.6,170,-0.793,0.04301,0.55,1,3
30506,1,3,2,1,0.27,510,-0.377,0.02401,0.27,0,3
31513,5,6,3,3,0.87,130,-0.625,0.02601,0.5,1,3
